Property Code,2022 Indoor Comp price,2023 Indoor Comp price,Total Units (2022Jul) (Indoor Parking),Occupied (2022Jul) (Indoor Parking),Percentage% (2022Jul) (Indoor Parking),New Lease (2022Jul) (Indoor Parking),Ending Lease (2022Jul) (Indoor Parking),Market Price (2022Jul) (Indoor Parking),Current Price (2022Jul) (Indoor Parking),Lease_Turnover_Rate% (2022Jul) (Indoor Parking),Ending_Lease_Rate% (2022Jul) (Indoor Parking),Total Units (2022Aug) (Indoor Parking),Occupied (2022Aug) (Indoor Parking),Percentage% (2022Aug) (Indoor Parking),New Lease (2022Aug) (Indoor Parking),Ending Lease (2022Aug) (Indoor Parking),Market Price (2022Aug) (Indoor Parking),Current Price (2022Aug) (Indoor Parking),Lease_Turnover_Rate% (2022Aug) (Indoor Parking),Ending_Lease_Rate% (2022Aug) (Indoor Parking),Total Units (2022Sep) (Indoor Parking),Occupied (2022Sep) (Indoor Parking),Percentage% (2022Sep) (Indoor Parking),New Lease (2022Sep) (Indoor Parking),Ending Lease (2022Sep) (Indoor Parking),Market Price (2022Sep) (Indoor Parking),Current Price (2022Sep) (Indoor Parking),Lease_Turnover_Rate% (2022Sep) (Indoor Parking),Ending_Lease_Rate% (2022Sep) (Indoor Parking),Total Units (2022Oct) (Indoor Parking),Occupied (2022Oct) (Indoor Parking),Percentage% (2022Oct) (Indoor Parking),New Lease (2022Oct) (Indoor Parking),Ending Lease (2022Oct) (Indoor Parking),Market Price (2022Oct) (Indoor Parking),Current Price (2022Oct) (Indoor Parking),Lease_Turnover_Rate% (2022Oct) (Indoor Parking),Ending_Lease_Rate% (2022Oct) (Indoor Parking),Total Units (2022Dec) (Indoor Parking),Occupied (2022Dec) (Indoor Parking),Percentage% (2022Dec) (Indoor Parking),New Lease (2022Dec) (Indoor Parking),Ending Lease (2022Dec) (Indoor Parking),Market Price (2022Dec) (Indoor Parking),Current Price (2022Dec) (Indoor Parking),Lease_Turnover_Rate% (2022Dec) (Indoor Parking),Ending_Lease_Rate% (2022Dec) (Indoor Parking),Total Units (2023Apr) (Indoor Parking),Occupied (2023Apr) (Indoor Parking),Percentage% (2023Apr) (Indoor Parking),New Lease (2023Apr) (Indoor Parking),Ending Lease (2023Apr) (Indoor Parking),Market Price (2023Apr) (Indoor Parking),Current Price (2023Apr) (Indoor Parking),Lease_Turnover_Rate% (2023Apr) (Indoor Parking),Ending_Lease_Rate% (2023Apr) (Indoor Parking),Total Units (2023May) (Indoor Parking),Occupied (2023May) (Indoor Parking),Percentage% (2023May) (Indoor Parking),New Lease (2023May) (Indoor Parking),Ending Lease (2023May) (Indoor Parking),Market Price (2023May) (Indoor Parking),Current Price (2023May) (Indoor Parking),Lease_Turnover_Rate% (2023May) (Indoor Parking),Ending_Lease_Rate% (2023May) (Indoor Parking)
y40911,0.0,90.0,162.0,80.0,49.38,8.0,24.0,125.0,122.42647058823529,14.81,77.16,161.0,81.0,50.31,0.0,107.0,125.0,123.21428571428571,66.46,77.64,161.0,81.0,50.31,1.0,96.0,125.0,123.91304347826087,59.63,77.64,161.0,86.0,53.42,8.0,85.0,125.0,123.97260273972603,52.8,77.64,161.0,85.0,52.8,14.0,88.0,125.0,123.98648648648648,54.66,77.64,161.0,86.0,53.42,0.0,103.0,125.0,124.03846153846153,63.98,77.64,161.0,80.0,49.69,6.0,93.0,125.0,123.95833333333333,57.76,77.64
y40940,162.5,130.0,24.0,22.0,91.67,3.0,7.0,110.0,107.85714285714286,29.17,458.33,24.0,20.0,83.33,0.0,4.0,110.0,107.63157894736842,16.67,458.33,24.0,23.0,95.83,0.0,1.0,110.0,107.75,4.17,458.33,24.0,23.0,95.83,3.0,3.0,110.0,108.04347826086956,12.5,458.33,24.0,22.0,91.67,3.0,4.0,110.0,107.95454545454545,16.67,458.33,24.0,21.0,87.5,0.0,9.0,110.0,107.85714285714286,37.5,458.33,24.0,21.0,87.5,2.0,11.0,110.0,107.85714285714286,45.83,458.33
y40960,162.5,133.75,251.0,219.0,87.25,16.0,54.0,110.0,109.95260663507109,21.51,43.82,251.0,218.0,86.85,3.0,75.0,110.0,109.95192307692308,29.88,43.82,251.0,216.0,86.06,0.0,59.0,110.0,109.95260663507109,23.51,43.82,251.0,223.0,88.84,31.0,53.0,110.0,109.95433789954338,21.12,43.82,251.0,224.0,89.24,23.0,53.0,110.0,109.95454545454545,21.12,43.82,251.0,221.0,88.05,2.0,89.0,110.0,109.95391705069125,35.46,43.82,251.0,217.0,86.45,19.0,89.0,110.0,109.95283018867924,35.46,43.82
y41491,0.0,131.25,205.0,193.0,94.15,20.0,50.0,150.0,149.74093264248705,24.39,73.17,204.0,187.0,91.67,11.0,57.0,150.0,149.72826086956522,27.94,73.53,204.0,189.0,92.65,1.0,40.0,150.0,150.0,19.61,73.53,204.0,193.0,94.61,29.0,35.0,150.0,150.0,17.16,73.53,204.0,194.0,95.1,24.0,24.0,150.0,150.0,11.76,73.53,204.0,190.0,93.14,2.0,64.0,150.0,150.0,31.37,73.53,204.0,187.0,91.67,14.0,55.0,150.0,150.0,26.96,73.53
y41580,47.5,35.0,139.0,131.0,94.24,15.0,28.0,55.0,55.252100840336134,20.14,39.57,139.0,129.0,92.81,0.0,33.0,55.0,55.02608695652174,23.74,39.57,139.0,130.0,93.53,0.0,27.0,55.0,55.02542372881356,19.42,39.57,139.0,133.0,95.68,11.0,27.0,55.0,55.37068965517241,19.42,39.57,139.0,132.0,94.96,9.0,31.0,55.0,55.35537190082645,22.3,39.57,139.0,134.0,96.4,0.0,43.0,55.0,55.14754098360656,30.94,39.57,139.0,129.0,92.81,7.0,38.0,55.0,55.19327731092437,27.34,39.57
y50121,82.5,0.0,301.0,228.0,75.75,22.0,57.0,90.0,94.97603603603606,18.94,29.9,301.0,228.0,75.75,4.0,80.0,90.0,95.37862385321107,26.58,29.9,301.0,231.0,76.74,3.0,80.0,90.0,95.44875555555559,26.58,29.9,301.0,233.0,77.41,27.0,81.0,90.0,95.84438053097352,26.91,29.9,301.0,241.0,80.07,19.0,71.0,90.0,95.75336170212776,23.59,29.9,301.0,243.0,80.73,10.0,78.0,90.0,96.21974468085115,25.91,29.9,301.0,237.0,78.74,16.0,75.0,90.0,96.62673913043487,24.92,29.9
y50670,113.75,127.5,457.0,409.0,89.5,12.0,92.0,125.0,109.10679197994989,20.13,27.35,457.0,407.0,89.06,1.0,77.0,125.0,109.88956852791875,16.85,27.35,457.0,409.0,89.5,8.0,72.0,125.0,110.79633165829146,15.75,27.35,457.0,411.0,89.93,18.0,71.0,125.0,111.16106965174133,15.54,27.35,457.0,413.0,90.37,39.0,69.0,125.0,111.58411910669976,15.1,27.35,457.0,421.0,92.12,4.0,69.0,125.0,112.95148058252431,15.1,27.35,457.0,414.0,90.59,24.0,65.0,125.0,113.48219753086425,14.22,27.35
y50680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y52950,133.33333333333334,162.5,635.0,263.0,41.42,27.0,41.0,130.0,136.88238095238103,6.46,20.47,636.0,259.0,40.72,2.0,390.0,130.0,137.40567685589525,61.32,20.44,636.0,263.0,41.35,1.0,393.0,130.0,137.4992241379311,61.79,20.44,636.0,269.0,42.3,26.0,392.0,130.0,138.22665271966534,61.64,20.44,638.0,264.0,41.38,30.0,386.0,130.0,138.3228632478633,60.5,20.38,638.0,254.0,39.81,0.0,400.0,130.0,138.78228699551573,62.7,20.38,638.0,254.0,39.81,13.0,404.0,130.0,138.90324444444445,63.32,20.38
y53000,98.75,0.0,290.0,259.0,89.31,24.0,52.0,120.0,112.06346613545811,17.93,41.38,290.0,265.0,91.38,2.0,51.0,120.0,112.17861111111105,17.59,41.38,290.0,262.0,90.34,0.0,51.0,120.0,112.50182186234815,17.59,41.38,290.0,264.0,91.03,89.0,51.0,120.0,112.86701195219123,17.59,41.38,290.0,268.0,92.41,24.0,48.0,120.0,113.10460629921258,16.55,41.38,290.0,274.0,94.48,0.0,47.0,120.0,113.75601532567052,16.21,41.38,290.0,273.0,94.14,16.0,43.0,120.0,114.16160156250002,14.83,41.38
