Property Code,2022 Outdoor Comp price,2023 Outdoor Comp price,Total Units (2022Jul) (Outdoor Parking),Occupied (2022Jul) (Outdoor Parking),Percentage% (2022Jul) (Outdoor Parking),New Lease (2022Jul) (Outdoor Parking),Ending Lease (2022Jul) (Outdoor Parking),Market Price (2022Jul) (Outdoor Parking),Current Price (2022Jul) (Outdoor Parking),Lease_Turnover_Rate% (2022Jul) (Outdoor Parking),Ending_Lease_Rate% (2022Jul) (Outdoor Parking),Total Units (2022Aug) (Outdoor Parking),Occupied (2022Aug) (Outdoor Parking),Percentage% (2022Aug) (Outdoor Parking),New Lease (2022Aug) (Outdoor Parking),Ending Lease (2022Aug) (Outdoor Parking),Market Price (2022Aug) (Outdoor Parking),Current Price (2022Aug) (Outdoor Parking),Lease_Turnover_Rate% (2022Aug) (Outdoor Parking),Ending_Lease_Rate% (2022Aug) (Outdoor Parking),Total Units (2022Sep) (Outdoor Parking),Occupied (2022Sep) (Outdoor Parking),Percentage% (2022Sep) (Outdoor Parking),New Lease (2022Sep) (Outdoor Parking),Ending Lease (2022Sep) (Outdoor Parking),Market Price (2022Sep) (Outdoor Parking),Current Price (2022Sep) (Outdoor Parking),Lease_Turnover_Rate% (2022Sep) (Outdoor Parking),Ending_Lease_Rate% (2022Sep) (Outdoor Parking),Total Units (2022Oct) (Outdoor Parking),Occupied (2022Oct) (Outdoor Parking),Percentage% (2022Oct) (Outdoor Parking),New Lease (2022Oct) (Outdoor Parking),Ending Lease (2022Oct) (Outdoor Parking),Market Price (2022Oct) (Outdoor Parking),Current Price (2022Oct) (Outdoor Parking),Lease_Turnover_Rate% (2022Oct) (Outdoor Parking),Ending_Lease_Rate% (2022Oct) (Outdoor Parking),Total Units (2022Dec) (Outdoor Parking),Occupied (2022Dec) (Outdoor Parking),Percentage% (2022Dec) (Outdoor Parking),New Lease (2022Dec) (Outdoor Parking),Ending Lease (2022Dec) (Outdoor Parking),Market Price (2022Dec) (Outdoor Parking),Current Price (2022Dec) (Outdoor Parking),Lease_Turnover_Rate% (2022Dec) (Outdoor Parking),Ending_Lease_Rate% (2022Dec) (Outdoor Parking),Total Units (2023Apr) (Outdoor Parking),Occupied (2023Apr) (Outdoor Parking),Percentage% (2023Apr) (Outdoor Parking),New Lease (2023Apr) (Outdoor Parking),Ending Lease (2023Apr) (Outdoor Parking),Market Price (2023Apr) (Outdoor Parking),Current Price (2023Apr) (Outdoor Parking),Lease_Turnover_Rate% (2023Apr) (Outdoor Parking),Ending_Lease_Rate% (2023Apr) (Outdoor Parking),Total Units (2023May) (Outdoor Parking),Occupied (2023May) (Outdoor Parking),Percentage% (2023May) (Outdoor Parking),New Lease (2023May) (Outdoor Parking),Ending Lease (2023May) (Outdoor Parking),Market Price (2023May) (Outdoor Parking),Current Price (2023May) (Outdoor Parking),Lease_Turnover_Rate% (2023May) (Outdoor Parking),Ending_Lease_Rate% (2023May) (Outdoor Parking),Total Units (2023Jun) (Outdoor Parking),Occupied (2023Jun) (Outdoor Parking),Percentage% (2023Jun) (Outdoor Parking),New Lease (2023Jun) (Outdoor Parking),Ending Lease (2023Jun) (Outdoor Parking),Market Price (2023Jun) (Outdoor Parking),Current Price (2023Jun) (Outdoor Parking),Lease_Turnover_Rate% (2023Jun) (Outdoor Parking),Ending_Lease_Rate% (2023Jun) (Outdoor Parking)
y53590,62.5,0.0,299.0,256.0,85.62,6.0,8.0,90.0,84.6838095238095,2.68,30.1,299.0,255.0,85.28,0.0,70.0,90.0,86.92013636363642,23.41,30.1,299.0,261.0,87.29,0.0,63.0,110.0,86.69816593886466,21.07,36.79,300.0,257.0,85.67,19.0,94.0,110.0,86.79726872246701,31.33,36.67,300.0,255.0,85.0,2.0,70.0,110.0,88.04915178571433,23.33,36.67,302.0,260.0,86.09,1.0,66.0,110.0,89.14480349344983,21.85,36.42,302.0,257.0,85.1,2.0,70.0,110.0,89.67226086956526,23.18,36.42,302.0,250.0,82.78,0.0,72.0,110.0,89.06318385650228,23.84,36.42
y53600,70.0,80.0,413.0,379.0,91.77,31.0,68.0,70.0,49.363205479452056,16.46,16.95,412.0,377.0,91.5,0.0,54.0,70.0,49.46138121546962,13.11,16.99,412.0,378.0,91.75,2.0,56.0,70.0,49.64033149171272,13.59,16.99,412.0,379.0,91.99,34.0,56.0,70.0,49.95180327868852,13.59,16.99,412.0,374.0,90.78,37.0,62.0,70.0,50.29753462603879,15.05,16.99,412.0,373.0,90.53,0.0,69.0,70.0,51.27775,16.75,16.99,412.0,371.0,90.05,27.0,64.0,75.0,51.1240223463687,15.53,18.2,412.0,380.0,92.23,3.0,55.0,75.0,52.06019178082188,13.35,18.2
y53620,65.0,120.0,56.0,53.0,94.64,5.0,13.0,90.0,50.781836734693876,23.21,160.71,56.0,52.0,92.86,0.0,24.0,90.0,49.98916666666667,42.86,160.71,56.0,52.0,92.86,0.0,25.0,90.0,49.98916666666667,44.64,160.71,56.0,52.0,92.86,4.0,25.0,90.0,50.015416666666674,44.64,160.71,56.0,52.0,92.86,4.0,26.0,90.0,50.34625,46.43,160.71,56.0,51.0,91.07,0.0,24.0,90.0,51.70808510638297,42.86,160.71,56.0,50.0,89.29,3.0,24.0,90.0,53.01934782608696,42.86,160.71,56.0,50.0,89.29,0.0,26.0,90.0,53.26717391304348,46.43,160.71
y53630,0.0,85.0,59.0,14.0,23.73,3.0,2.0,90.0,86.38357142857141,3.39,152.54,59.0,14.0,23.73,1.0,45.0,90.0,87.27214285714285,76.27,152.54,59.0,14.0,23.73,3.0,45.0,90.0,87.89285714285714,76.27,152.54,59.0,13.0,22.03,1.0,47.0,90.0,87.5576923076923,79.66,152.54,59.0,13.0,22.03,1.0,46.0,90.0,87.5576923076923,77.97,152.54,59.0,12.0,20.34,0.0,49.0,90.0,85.67416666666666,83.05,152.54,59.0,11.0,18.64,1.0,48.0,90.0,85.83181818181818,81.36,152.54,59.0,11.0,18.64,0.0,48.0,90.0,86.03818181818181,81.36,152.54
y53640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y53650,0.0,90.0,49.0,43.0,87.76,7.0,7.0,85.0,83.60069767441858,14.29,173.47,49.0,43.0,87.76,2.0,8.0,90.0,83.08837209302322,16.33,183.67,49.0,40.0,81.63,1.0,11.0,90.0,82.31524999999998,22.45,183.67,49.0,40.0,81.63,5.0,11.0,90.0,82.31524999999998,22.45,183.67,49.0,39.0,79.59,1.0,14.0,90.0,82.49820512820511,28.57,183.67,49.0,37.0,75.51,1.0,15.0,90.0,83.31081081081079,30.61,183.67,49.0,35.0,71.43,5.0,17.0,90.0,82.77342857142854,34.69,183.67,49.0,33.0,67.35,0.0,19.0,90.0,82.68272727272725,38.78,183.67
y53660,78.33333333333333,0.0,54.0,29.0,53.7,0.0,1.0,85.0,79.94428571428571,1.85,157.41,54.0,38.0,70.37,0.0,25.0,85.0,81.26037037037038,46.3,157.41,54.0,39.0,72.22,0.0,24.0,85.0,81.39392857142857,44.44,157.41,54.0,39.0,72.22,1.0,25.0,85.0,81.46964285714287,46.3,157.41,54.0,39.0,72.22,2.0,25.0,85.0,81.3564285714286,46.3,157.41,54.0,38.0,70.37,0.0,25.0,85.0,81.35642857142857,46.3,157.41,54.0,40.0,74.07,1.0,24.0,85.0,81.77566666666667,44.44,157.41,54.0,40.0,74.07,1.0,23.0,85.0,81.91900000000001,42.59,157.41
y55265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y55270,0.0,82.5,117.0,69.0,58.97,1.0,3.0,75.0,53.58898550724641,2.56,64.1,117.0,69.0,58.97,0.0,50.0,75.0,54.9894202898551,42.74,64.1,117.0,67.0,57.26,1.0,51.0,75.0,54.28402985074629,43.59,64.1,117.0,71.0,60.68,6.0,47.0,75.0,55.93014084507045,40.17,64.1,117.0,69.0,58.97,2.0,51.0,75.0,55.34304347826089,43.59,64.1,117.0,72.0,61.54,4.0,52.0,75.0,56.662535211267624,44.44,64.1,117.0,70.0,59.83,4.0,49.0,75.0,58.06285714285716,41.88,64.1,117.0,70.0,59.83,3.0,50.0,75.0,58.0917142857143,42.74,64.1
y55275,30.0,90.0,99.0,24.0,24.24,0.0,0.0,70.0,51.07,0.0,70.71,99.0,24.0,24.24,0.0,76.0,70.0,53.25458333333333,76.77,70.71,99.0,23.0,23.23,0.0,76.0,70.0,52.78818181818181,76.77,70.71,99.0,23.0,23.23,1.0,79.0,70.0,52.78818181818181,79.8,70.71,99.0,20.0,20.2,0.0,79.0,70.0,50.849000000000004,79.8,70.71,99.0,19.0,19.19,0.0,80.0,70.0,49.84105263157895,80.81,70.71,99.0,20.0,20.2,0.0,79.0,70.0,49.84105263157895,79.8,70.71,99.0,25.0,25.25,0.0,74.0,70.0,54.679199999999994,74.75,70.71
y63060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y63070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y63075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y63130,0.0,75.0,10.0,7.0,70.0,0.0,1.0,75.0,80.0,10.0,750.0,10.0,7.0,70.0,0.0,4.0,75.0,80.0,40.0,750.0,10.0,7.0,70.0,0.0,3.0,75.0,80.0,30.0,750.0,10.0,7.0,70.0,0.0,5.0,75.0,80.0,50.0,750.0,10.0,7.0,70.0,0.0,6.0,75.0,80.0,60.0,750.0,10.0,7.0,70.0,0.0,4.0,75.0,80.0,40.0,750.0,10.0,7.0,70.0,0.0,4.0,75.0,80.0,40.0,750.0,10.0,9.0,90.0,1.0,1.0,75.0,78.57142857142857,10.0,750.0
y63135,75.0,75.0,10.0,7.0,70.0,0.0,0.0,75.0,69.28571428571429,0.0,750.0,10.0,9.0,90.0,0.0,1.0,75.0,70.55555555555556,10.0,750.0,10.0,9.0,90.0,0.0,2.0,75.0,72.22222222222223,20.0,750.0,10.0,10.0,100.0,3.0,3.0,75.0,72.5,30.0,750.0,10.0,10.0,100.0,1.0,2.0,75.0,72.5,20.0,750.0,10.0,9.0,90.0,0.0,4.0,75.0,72.22222222222223,40.0,750.0,10.0,9.0,90.0,1.0,2.0,75.0,72.22222222222223,20.0,750.0,10.0,9.0,90.0,1.0,1.0,75.0,72.22222222222223,10.0,750.0
y64170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y64180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y65160,0.0,0.0,64.0,35.0,54.69,0.0,2.0,85.0,72.03029411764703,3.12,132.81,64.0,34.0,53.12,0.0,30.0,85.0,73.32545454545455,46.88,132.81,64.0,33.0,51.56,0.0,33.0,85.0,73.1659375,51.56,132.81,64.0,34.0,53.12,0.0,33.0,85.0,73.35750000000002,51.56,132.81,64.0,32.0,50.0,0.0,32.0,85.0,72.98451612903226,50.0,132.81,64.0,32.0,50.0,0.0,33.0,85.0,73.60645161290321,51.56,132.81,64.0,31.0,48.44,1.0,33.0,85.0,73.467,51.56,132.81,64.0,30.0,46.88,0.0,36.0,85.0,73.06931034482758,56.25,132.81
y65165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y65225,35.0,83.33333333333333,12.0,12.0,100.0,0.0,2.0,130.0,100.515,16.67,1083.33,15.0,13.0,86.67,0.0,5.0,130.0,103.84615384615384,33.33,866.67,15.0,13.0,86.67,0.0,4.0,130.0,101.9375,26.67,866.67,15.0,13.0,86.67,2.0,4.0,130.0,101.9375,26.67,866.67,15.0,11.0,73.33,0.0,6.0,130.0,99.24454545454546,40.0,866.67,15.0,10.0,66.67,0.0,7.0,130.0,96.169,46.67,866.67,15.0,10.0,66.67,0.0,7.0,130.0,96.49699999999999,46.67,866.67,15.0,10.0,66.67,0.0,7.0,130.0,96.822,46.67,866.67
