Property Code,2022 Outdoor Comp price,2023 Outdoor Comp price,Total Units (2022Jul) (Outdoor Parking),Occupied (2022Jul) (Outdoor Parking),Percentage% (2022Jul) (Outdoor Parking),New Lease (2022Jul) (Outdoor Parking),Ending Lease (2022Jul) (Outdoor Parking),Market Price (2022Jul) (Outdoor Parking),Current Price (2022Jul) (Outdoor Parking),Lease_Turnover_Rate% (2022Jul) (Outdoor Parking),Ending_Lease_Rate% (2022Jul) (Outdoor Parking),Total Units (2022Aug) (Outdoor Parking),Occupied (2022Aug) (Outdoor Parking),Percentage% (2022Aug) (Outdoor Parking),New Lease (2022Aug) (Outdoor Parking),Ending Lease (2022Aug) (Outdoor Parking),Market Price (2022Aug) (Outdoor Parking),Current Price (2022Aug) (Outdoor Parking),Lease_Turnover_Rate% (2022Aug) (Outdoor Parking),Ending_Lease_Rate% (2022Aug) (Outdoor Parking),Total Units (2022Sep) (Outdoor Parking),Occupied (2022Sep) (Outdoor Parking),Percentage% (2022Sep) (Outdoor Parking),New Lease (2022Sep) (Outdoor Parking),Ending Lease (2022Sep) (Outdoor Parking),Market Price (2022Sep) (Outdoor Parking),Current Price (2022Sep) (Outdoor Parking),Lease_Turnover_Rate% (2022Sep) (Outdoor Parking),Ending_Lease_Rate% (2022Sep) (Outdoor Parking),Total Units (2022Oct) (Outdoor Parking),Occupied (2022Oct) (Outdoor Parking),Percentage% (2022Oct) (Outdoor Parking),New Lease (2022Oct) (Outdoor Parking),Ending Lease (2022Oct) (Outdoor Parking),Market Price (2022Oct) (Outdoor Parking),Current Price (2022Oct) (Outdoor Parking),Lease_Turnover_Rate% (2022Oct) (Outdoor Parking),Ending_Lease_Rate% (2022Oct) (Outdoor Parking),Total Units (2022Dec) (Outdoor Parking),Occupied (2022Dec) (Outdoor Parking),Percentage% (2022Dec) (Outdoor Parking),New Lease (2022Dec) (Outdoor Parking),Ending Lease (2022Dec) (Outdoor Parking),Market Price (2022Dec) (Outdoor Parking),Current Price (2022Dec) (Outdoor Parking),Lease_Turnover_Rate% (2022Dec) (Outdoor Parking),Ending_Lease_Rate% (2022Dec) (Outdoor Parking),Total Units (2023Apr) (Outdoor Parking),Occupied (2023Apr) (Outdoor Parking),Percentage% (2023Apr) (Outdoor Parking),New Lease (2023Apr) (Outdoor Parking),Ending Lease (2023Apr) (Outdoor Parking),Market Price (2023Apr) (Outdoor Parking),Current Price (2023Apr) (Outdoor Parking),Lease_Turnover_Rate% (2023Apr) (Outdoor Parking),Ending_Lease_Rate% (2023Apr) (Outdoor Parking),Total Units (2023May) (Outdoor Parking),Occupied (2023May) (Outdoor Parking),Percentage% (2023May) (Outdoor Parking),New Lease (2023May) (Outdoor Parking),Ending Lease (2023May) (Outdoor Parking),Market Price (2023May) (Outdoor Parking),Current Price (2023May) (Outdoor Parking),Lease_Turnover_Rate% (2023May) (Outdoor Parking),Ending_Lease_Rate% (2023May) (Outdoor Parking),Total Units (2023Jun) (Outdoor Parking),Occupied (2023Jun) (Outdoor Parking),Percentage% (2023Jun) (Outdoor Parking),New Lease (2023Jun) (Outdoor Parking),Ending Lease (2023Jun) (Outdoor Parking),Market Price (2023Jun) (Outdoor Parking),Current Price (2023Jun) (Outdoor Parking),Lease_Turnover_Rate% (2023Jun) (Outdoor Parking),Ending_Lease_Rate% (2023Jun) (Outdoor Parking)
y40911,0.0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y40940,0.0,80.0,12.0,8.0,66.67,0.0,2.0,75.0,79.375,16.67,625.0,12.0,7.0,58.33,0.0,7.0,75.0,80.0,58.33,625.0,12.0,7.0,58.33,0.0,6.0,75.0,80.0,50.0,625.0,12.0,7.0,58.33,0.0,6.0,75.0,80.0,50.0,625.0,12.0,7.0,58.33,1.0,6.0,75.0,80.0,50.0,625.0,12.0,6.0,50.0,0.0,8.0,75.0,80.83333333333333,66.67,625.0,12.0,5.0,41.67,0.0,10.0,75.0,82.0,83.33,625.0,12.0,5.0,41.67,0.0,9.0,75.0,82.0,75.0,625.0
y40960,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y41491,0.0,58.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y41580,15.0,37.5,95.0,62.0,65.26,7.0,13.0,35.0,38.4,13.68,36.84,95.0,57.0,60.0,0.0,54.0,35.0,38.816326530612244,56.84,36.84,95.0,54.0,56.84,0.0,52.0,35.0,38.895833333333336,54.74,36.84,95.0,53.0,55.79,1.0,53.0,35.0,38.895833333333336,55.79,36.84,95.0,48.0,50.53,3.0,56.0,35.0,38.883720930232556,58.95,36.84,96.0,47.0,48.96,0.0,66.0,35.0,64.76595744680851,68.75,36.46,96.0,44.0,45.83,8.0,64.0,35.0,67.76744186046511,66.67,36.46,96.0,46.0,47.92,0.0,60.0,35.0,67.76744186046511,62.5,36.46
y50121,72.5,0.0,57.0,29.0,50.88,2.0,7.0,80.0,78.23931034482759,12.28,140.35,57.0,32.0,56.14,2.0,29.0,80.0,83.89071428571428,50.88,140.35,57.0,32.0,56.14,1.0,29.0,80.0,84.02172413793105,50.88,140.35,57.0,31.0,54.39,4.0,30.0,80.0,81.81464285714287,52.63,140.35,57.0,32.0,56.14,8.0,30.0,80.0,81.95482758620692,52.63,140.35,57.0,32.0,56.14,1.0,32.0,80.0,80.1107142857143,56.14,140.35,57.0,31.0,54.39,4.0,31.0,80.0,80.09423076923078,54.39,140.35,57.0,34.0,59.65,3.0,27.0,80.0,80.60766666666669,47.37,140.35
y50670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y50680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y52950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y53000,73.33333333333333,0.0,38.0,29.0,76.32,1.0,7.0,85.0,94.81035714285713,18.42,223.68,38.0,29.0,76.32,0.0,11.0,85.0,94.80214285714284,28.95,223.68,38.0,30.0,78.95,0.0,10.0,85.0,92.28714285714284,26.32,223.68,38.0,30.0,78.95,6.0,11.0,85.0,92.25827586206896,28.95,223.68,38.0,28.0,73.68,3.0,11.0,85.0,92.56249999999999,28.95,223.68,38.0,31.0,81.58,0.0,10.0,85.0,92.00387096774193,26.32,223.68,38.0,31.0,81.58,5.0,9.0,85.0,92.80766666666663,23.68,223.68,38.0,31.0,81.58,0.0,9.0,85.0,93.20099999999996,23.68,223.68
