Property Code,Province,Property,Occupied Units,Parking Revenue,Avg Parking Rev/Occupied Units,Occ%,Parking Revenue.1,Avg Parking Rev/Occupied Units.1,Occ%.1,Parking Revenue.2,Avg Parking Rev/Occupied Units.2,Occ%.2,Parking Revenue.3,Avg Parking Rev/Occupied Units.3,Occ%.3,Parking Revenue.4,Avg Parking Rev/Occupied Units.4,Occ%.4,Parking Revenue.5,Avg Parking Rev/Occupied Units.5,Occ%.5,Parking Revenue.6,Avg Parking Rev/Occupied Units.6,Occ%.6,Parking Revenue.7,Avg Parking Rev/Occupied Units.7,Unnamed: 27,Unnamed: 28,Garage/Indoor,Surface,Commercial,Occupied Parking Units,Occ %,Occupied Parking Indoor Feb,Surface feb,Occ% Feb,Occupied Parking Indoor Mar,Occupied Parking Surface Mar,Occ% Mar,Occupied Parking Indoor ,Surface ,Occ% ,Occupied Parking Indoor .1,Occupied Parking Surface ,Occ% .1,Occupied Parking Indoor .2,Occupied Parking Surface .1,Occ% .2,Occupied Parking Indoor .3,Occupied Parking Surface .2,Occ% .3,Occupied Parking Indoor .4,Occupied Parking Surface .3,Occ% .4,Occupied Parking Indoor .5,Occupied Parking Surface .4,Occ% .5,Occupied Parking Indoor .6,Occupied Parking Surface .5,Occ% .6,Occupied Parking Indoor .7,Occupied Parking Surface .6,Occ% .7,Occupied Parking Indoor .8,Occupied Parking Surface .7,Occ% .8,Avg Occ 2022,Garage/Indoor.1,Surface.1,Garage/Indoor.2,Surface.2,Garage/Indoor.3,Surface.3,Garage/Indoor.4,Surface.4,Garage/Indoor.5,Surface.5,Average Garage,Average Surface,Our Parking vs Comp Parking,Our Parking vs Comp Parking.1,Unnamed: 82,Remarks,Unnamed: 84,Garage/Indoor.6,Surface.6,Garage/Indoor.7,Surface.7,Garage/Indoor.8,Surface.8,Garage/Indoor.9,Surface.9,Garage/Indoor.10,Surface.10,Average Garage/Indoor Parking,Average Surface Parking,Remarks.1,Average Garage.1,Average Surface.1,Our Parking vs Comp Parking.2,Our Parking vs Comp Parking.3,Premium Parking Spots(Identify and update the parking spots numbers which could be priced higher than the other parking spots due to their location like closer to the elevator),Occupied Parking Indoor .9,Occupied Parking Surface .8,Occ% .9,Occupied Parking Indoor .10,Occupied Parking Surface .9,Occ% .10,Occupied Parking Indoor .11,EV,Occupied Parking Surface .10,Occ% .11,Unnamed: 113
y41491,AB,Sodo,278.193548387097,44867.58,161.28188543599245,279.5,45852.95,164.053488372093,276.0,51693.81,187.29641304347825,275.8,57463.48,208.3519941986947,267.58064516129,54888.94,205.1304569017483,263.166666666667,53882.95,204.74838505383124,269.387096774194,72192.26,267.98707460184363,268.0,106153.96,396.0968656716418,,,236,0,208,181.0,0.7669491525423728,178.0,,0.7542372881355932,204.0,,0.864406779661017,,173.0,0.7330508474576272,,173.0,0.7330508474576272,175.0,,0.7415254237288136,188.0,,0.7966101694915254,179.0,,0.7584745762711864,177.0,,0.75,181.0,,0.7669491525423728,184.0,,0.7796610169491526,187.0,,0.7923728813559322,0.7687146892655368,0.0,150.0,,0.0,,,,,,,0.0,0.0,0.0,150.0,,,,150,0.0,150.0,175,150.0,0,100.0,0.0,125,,131.25,58.333333333333336,Commercial lot is Indigo.,131.25,58.333333333333336,18.75,-58.333333333333336,,187.0,,0.7923728813559322,187.0,,0.7923728813559322,178.0,,,0.7542372881355932,
y64180,AB,Calgary Place,512.129032258065,46316.83,90.4397663139329,508.928571428571,54710.22,107.50078315789483,512.58064516129,42200.48,82.32944493392075,514.966666666667,43829.75,85.11181953524493,516.645161290323,44229.92,85.60986013986006,524.766666666667,34804.6,66.32395350314421,517.290322580645,43745.32,84.56628336243455,513.064516129032,39472.26,76.93430116315629,,,586,0,0,375.0,0.6399317406143344,,,0.0,241.0,,0.4112627986348123,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,115.0,115.0,100.0,0.0,120.0,,150.0,,,,123.33333333333333,0.0,-8.333333333333329,115.0,,Indigo Parking 584 stalls.  Commercial pay $150/month,,115,115.0,,,,,,,,,0.0,0.0,,0.0,0.0,115.0,115.0,N/A through 3rd party Indigo Parking,,,0.0,,,0.0,,,,0.0,
y63135,BC,The Saint George,0.0,0.0,0.0,87.9285714285714,0.0,0.0,85.9032258064516,2500.0,29.10251595944424,85.1333333333333,2392.0,28.097102584181687,89.3870967741936,2260.0,25.283291230602657,90.6666666666667,2260.0,24.926470588235286,89.0645161290323,2477.78,27.8200579500181,93.6129032258064,2108.79,22.5267022742936,,,46,10,0,54.0,0.9642857142857143,36.0,8.0,0.7857142857142857,36.0,10.0,0.8214285714285714,21.0,5.0,0.4642857142857143,21.0,5.0,0.4642857142857143,21.0,6.0,0.48214285714285715,40.0,7.0,0.8392857142857143,41.0,8.0,0.875,42.0,8.0,0.8928571428571429,42.0,9.0,0.9107142857142857,43.0,9.0,0.9285714285714286,44.0,10.0,0.9642857142857143,0.7678571428571429,60.0,60.0,100.0,75.0,120.0,,125.0,,125.0,,117.5,75.0,-57.5,-15.0,,"Sundance, Victoria, Bridgewater, Royals",,100,75.0,100.0,75,0.0,75,125.0,,150,,93.75,75.0,,93.75,75.0,6.25,0.0,,44.0,10.0,0.9642857142857143,44.0,10.0,0.9642857142857143,35.0,5.0,8.0,0.8571428571428571,8.0
y31201,BC,Dunway Court,45.9677419354839,1185.0,25.778947368421036,44.9285714285714,1185.0,26.37519872813992,45.6774193548387,1232.5,26.982697740113,44.2333333333333,1152.5,26.05501130369256,44.8064516129032,1185.49,26.458020158387342,46.5,1275.0,27.419354838709676,47.7096774193548,1403.23,29.411852603110237,49.0,1425.0,29.081632653061224,,,47,0,0,20.0,0.425531914893617,21.0,,0.44680851063829785,30.0,,0.6382978723404256,30.0,,0.6382978723404256,28.0,,0.5957446808510638,23.0,0.0,0.48936170212765956,27.0,,0.574468085106383,23.0,,0.48936170212765956,23.0,,0.48936170212765956,23.0,,0.48936170212765956,24.0,,0.5106382978723404,25.0,,0.5319148936170213,0.5283687943262411,75.0,0.0,80.0,0.0,100.0,,50.0,,100.0,,82.5,0.0,-7.5,0.0,,Dunway and Larchway should have similar parking charge,,75,0.0,85.0,,75.0,,75.0,,100,,83.75,0.0,,83.75,0.0,-8.75,0.0,P1,25.0,,0.5319148936170213,25.0,,0.5319148936170213,26.0,,,0.5531914893617021,
y63060,BC,Panarama Tower,193.258064516129,7370.0,38.13553663829077,193.785714285714,7190.0,37.10283818650945,195.41935483871,7313.92,37.426794321558205,197.933333333333,7820.0,39.50825193667908,200.451612903226,8120.0,40.50852912777595,201.7,8360.0,41.44769459593456,198.516129032258,8130.25,40.955110497237584,198.838709677419,7940.0,39.93186242699553,,,256,0,0,,0.0,158.0,,0.6171875,,,0.0,122.0,,0.4765625,122.0,,0.4765625,133.0,,0.51953125,128.0,,0.5,141.0,,0.55078125,141.0,,0.55078125,139.0,,0.54296875,141.0,,0.55078125,142.0,,0.5546875,0.4964192708333333,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,60,,75.0,,50.0,,,,,,62.5,0.0,We can increase to $75/stall to allign with all our Bby properties,62.5,0.0,-2.5,,,142.0,,0.5546875,142.0,,0.5546875,140.0,3.0,,0.55859375,7.0
y31202,BC,Larchway Gardens,61.741935483871,1680.0,27.210031347962367,61.4642857142857,2147.5,34.938988959907036,61.0,2190.0,35.90163934426229,60.4333333333333,2147.5,35.535024820739125,61.9677419354839,2360.0,38.08433107756375,62.8666666666667,2445.0,38.8918345705196,58.9677419354839,2190.0,37.13894967177241,60.5806451612903,2351.77,38.820484558040484,,,31,0,0,30.0,0.967741935483871,30.0,,0.967741935483871,31.0,,1.0,29.0,,0.9354838709677419,29.0,,0.9354838709677419,31.0,0.0,1.0,30.0,,0.967741935483871,30.0,,0.967741935483871,30.0,,0.967741935483871,27.0,,0.8709677419354839,27.0,,0.8709677419354839,3.0,,0.0967741935483871,0.8790322580645163,85.0,0.0,80.0,0.0,100.0,,50.0,,100.0,,82.5,0.0,2.5,0.0,,,,110,0.0,85.0,,75.0,,75.0,,100,,83.75,0.0,,83.75,0.0,26.25,0.0,P1,3.0,,0.0967741935483871,3.0,,0.0967741935483871,26.0,,,0.8387096774193549,
y63130,BC,Sundance Apartments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.55,0.0,92.9666666666667,2900.72,31.201721046970228,93.6774193548387,2900.72,30.964986225895316,96.1666666666667,2900.72,30.163466204506054,95.7096774193548,3400.72,35.531621166161116,93.5483870967742,3177.4,33.965310344827586,,,79,10,0,83.0,0.9325842696629213,43.0,3.0,0.5168539325842697,75.0,10.0,0.9550561797752809,45.0,5.0,0.5617977528089888,45.0,5.0,0.5617977528089888,35.0,5.0,0.449438202247191,61.0,5.0,0.7415730337078652,61.0,7.0,0.7640449438202247,61.0,7.0,0.7640449438202247,62.0,7.0,0.7752808988764045,60.0,7.0,0.7528089887640449,60.0,7.0,0.7528089887640449,0.6760299625468166,100.0,75.0,60.0,0.0,125.0,,125.0,,110.0,,105.0,0.0,-5.0,75.0,,"Saint George, Royals, Bridgewater, Northwoods",,100,75.0,100.0,75,0.0,75,125.0,,150,,93.75,75.0,,93.75,75.0,6.25,0.0,,60.0,7.0,0.7528089887640449,60.0,7.0,0.7528089887640449,56.0,1.0,7.0,0.7191011235955056,9.0
y31251,BC,NorthWoods Village,77.258064516129,6210.0,80.37995824634659,77.8571428571429,6320.0,81.17431192660545,75.4193548387097,6310.0,83.66552609067577,73.8666666666667,6100.0,82.58122743682307,70.4516129032258,5730.97,81.34618589743592,65.8333333333333,5060.0,76.86075949367093,69.0322580645161,5223.22,75.66346728971966,74.1290322580645,5500.0,74.19495213228896,,,82,0,0,56.0,0.6829268292682927,53.0,,0.6463414634146342,63.0,0.0,0.7682926829268293,54.0,,0.6585365853658537,54.0,,0.6585365853658537,54.0,,0.6585365853658537,52.0,,0.6341463414634146,48.0,,0.5853658536585366,48.0,,0.5853658536585366,51.0,,0.6219512195121951,53.0,,0.6463414634146342,55.0,,0.6707317073170732,0.6483739837398373,110.0,0.0,100.0,75.0,90.0,,60.0,60.0,125.0,,93.75,67.5,16.25,-67.5,,"Lynn Creek, Capilano Residences, Saint George, Bridgewater",,110,0.0,120.0,0,120.0,0,135.0,0.0,125,,125.0,0.0,,125.0,0.0,-15.0,0.0,,55.0,,0.6707317073170732,55.0,,0.6707317073170732,53.0,,,0.6463414634146342,
y31600,BC,Arbour Place,213.709677419355,2989.33,13.987808301886782,218.892857142857,3039.33,13.885012236906519,218.774193548387,2989.33,13.663997345915666,224.2,3239.33,14.448394290811775,226.548387096774,3389.33,14.960733304855486,228.133333333333,3500.0,15.341905318527198,231.41935483871,3500.0,15.12405910231389,236.161290322581,2800.0,11.856303783636097,,,283,36,0,,0.0,,,0.0,,,0.0,123.0,,0.38557993730407525,121.0,,0.3793103448275862,121.0,,0.3793103448275862,135.0,,0.4231974921630094,136.0,,0.4263322884012539,134.0,,0.4200626959247649,136.0,,0.4263322884012539,137.0,,0.42946708463949845,138.0,,0.43260188087774293,0.30851619644723094,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,,Hazel and Arbor place at similar charge,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,138.0,,0.43260188087774293,138.0,,0.43260188087774293,128.0,3.0,,0.4106583072100313,8.0
y63075,BC,Bayview Coal Harbour,221.322580645161,14587.24,65.90940679201292,220.392857142857,14641.31,66.43277912818024,227.0,13807.98,60.828105726872245,229.766666666667,16492.24,71.77820977803559,228.161290322581,13870.0,60.790329421744566,225.666666666667,15631.0,69.2658788774002,227.935483870968,14507.96,63.64941409566933,228.193548387097,17428.76,76.37709358213166,,,189,0,24,121.0,0.6402116402116402,92.0,,0.48677248677248675,134.0,,0.708994708994709,112.0,,0.5925925925925926,108.0,,0.5714285714285714,96.0,,0.5079365079365079,125.0,,0.6613756613756614,121.0,,0.6402116402116402,120.0,,0.6349206349206349,122.0,,0.6455026455026455,120.0,,0.6349206349206349,118.0,,0.6243386243386243,0.5996472663139328,135.0,0.0,110.0,0.0,135.0,,150.0,,,,131.66666666666666,0.0,3.333333333333343,0.0,,,,135,0.0,110.0,,100.0,,100.0,,,,103.33333333333333,0.0,Commercial spots ( $ 150 and $200),103.33333333333333,0.0,31.66666666666667,0.0,"P2-31, 166, 167, 168, 169; P3 - 53, 118, 119, 120",118.0,,0.6243386243386243,118.0,,0.6243386243386243,113.0,6.0,,0.6296296296296297,10.0
