Property Code,Total Units (2022Jul) (Indoor Parking),Occupied (2022Jul) (Indoor Parking),Percentage (2022Jul) (Indoor Parking),New Lease (2022Jul) (Indoor Parking),Ending Lease (2022Jul) (Indoor Parking),Price (2022Jul) (Indoor Parking),Property Code,Total Units (2022Aug) (Indoor Parking),Occupied (2022Aug) (Indoor Parking),Percentage (2022Aug) (Indoor Parking),New Lease (2022Aug) (Indoor Parking),Ending Lease (2022Aug) (Indoor Parking),Price (2022Aug) (Indoor Parking),Property Code,Total Units (2022Sep) (Indoor Parking),Occupied (2022Sep) (Indoor Parking),Percentage (2022Sep) (Indoor Parking),New Lease (2022Sep) (Indoor Parking),Ending Lease (2022Sep) (Indoor Parking),Price (2022Sep) (Indoor Parking),Property Code,Total Units (2022Oct) (Indoor Parking),Occupied (2022Oct) (Indoor Parking),Percentage (2022Oct) (Indoor Parking),New Lease (2022Oct) (Indoor Parking),Ending Lease (2022Oct) (Indoor Parking),Price (2022Oct) (Indoor Parking),Property Code,Total Units (2022Dec) (Indoor Parking),Occupied (2022Dec) (Indoor Parking),Percentage (2022Dec) (Indoor Parking),New Lease (2022Dec) (Indoor Parking),Ending Lease (2022Dec) (Indoor Parking),Price (2022Dec) (Indoor Parking),Property Code,Total Units (2023Apr) (Indoor Parking),Occupied (2023Apr) (Indoor Parking),Percentage (2023Apr) (Indoor Parking),New Lease (2023Apr) (Indoor Parking),Ending Lease (2023Apr) (Indoor Parking),Price (2023Apr) (Indoor Parking),Property Code,Total Units (2023May) (Indoor Parking),Occupied (2023May) (Indoor Parking),Percentage (2023May) (Indoor Parking),New Lease (2023May) (Indoor Parking),Ending Lease (2023May) (Indoor Parking),Price (2023May) (Indoor Parking)
y40940,24.0,22.0,91.67,3.0,7.0,110.0,y40940,24.0,20.0,83.33,0.0,4.0,110.0,y40940,24.0,23.0,95.83,0.0,1.0,110.0,y40940,24.0,23.0,95.83,3.0,3.0,110.0,y40940,24.0,22.0,91.67,3.0,4.0,110.0,y40940,24.0,21.0,87.5,0.0,9.0,110.0,y40940,24.0,21.0,87.5,2.0,11.0,110.0
y40960,251.0,219.0,87.25,16.0,54.0,110.0,y40960,251.0,218.0,86.85,3.0,75.0,110.0,y40960,251.0,216.0,86.06,0.0,59.0,110.0,y40960,251.0,223.0,88.84,31.0,53.0,110.0,y40960,251.0,224.0,89.24,23.0,53.0,110.0,y40960,251.0,221.0,88.05,2.0,89.0,110.0,y40960,251.0,217.0,86.45,19.0,89.0,110.0
y41491,205.0,193.0,94.15,20.0,50.0,150.0,y41491,204.0,187.0,91.67,11.0,57.0,150.0,y41491,204.0,189.0,92.65,1.0,40.0,150.0,y41491,204.0,193.0,94.61,29.0,35.0,150.0,y41491,204.0,194.0,95.1,24.0,24.0,150.0,y41491,204.0,190.0,93.14,2.0,64.0,150.0,y41491,204.0,187.0,91.67,14.0,55.0,150.0
y41580,139.0,131.0,94.24,15.0,28.0,55.0,y41580,139.0,129.0,92.81,0.0,33.0,55.0,y41580,139.0,130.0,93.53,0.0,27.0,55.0,y41580,139.0,133.0,95.68,11.0,27.0,55.0,y41580,139.0,132.0,94.96,9.0,31.0,55.0,y41580,139.0,134.0,96.4,0.0,43.0,55.0,y41580,139.0,129.0,92.81,7.0,38.0,55.0
y50121,301.0,228.0,75.75,22.0,57.0,90.0,y50121,301.0,228.0,75.75,4.0,80.0,90.0,y50121,301.0,231.0,76.74,3.0,80.0,90.0,y50121,301.0,233.0,77.41,27.0,81.0,90.0,y50121,301.0,241.0,80.07,19.0,71.0,90.0,y50121,301.0,243.0,80.73,10.0,78.0,90.0,y50121,301.0,237.0,78.74,16.0,75.0,90.0
y50670,457.0,409.0,89.5,12.0,92.0,125.0,y50670,457.0,407.0,89.06,1.0,77.0,125.0,y50670,457.0,409.0,89.5,8.0,72.0,125.0,y50670,457.0,411.0,89.93,18.0,71.0,125.0,y50670,457.0,413.0,90.37,39.0,69.0,125.0,y50670,457.0,421.0,92.12,4.0,69.0,125.0,y50670,457.0,414.0,90.59,24.0,65.0,125.0
y50680,0.0,0.0,0.0,0.0,0.0,0.0,y50680,0.0,0.0,0.0,0.0,0.0,0.0,y50680,0.0,0.0,0.0,0.0,0.0,0.0,y50680,0.0,0.0,0.0,0.0,0.0,0.0,y50680,0.0,0.0,0.0,0.0,0.0,0.0,y50680,0.0,0.0,0.0,0.0,0.0,0.0,y50680,0.0,0.0,0.0,0.0,0.0,0.0
y52950,635.0,263.0,41.42,27.0,41.0,130.0,y52950,636.0,259.0,40.72,2.0,390.0,130.0,y52950,636.0,263.0,41.35,1.0,393.0,130.0,y52950,636.0,269.0,42.3,26.0,392.0,130.0,y52950,638.0,264.0,41.38,30.0,386.0,130.0,y52950,638.0,254.0,39.81,0.0,400.0,130.0,y52950,638.0,254.0,39.81,13.0,404.0,130.0
y53000,290.0,259.0,89.31,24.0,52.0,120.0,y53000,290.0,265.0,91.38,2.0,51.0,120.0,y53000,290.0,262.0,90.34,0.0,51.0,120.0,y53000,290.0,264.0,91.03,89.0,51.0,120.0,y53000,290.0,268.0,92.41,24.0,48.0,120.0,y53000,290.0,274.0,94.48,0.0,47.0,120.0,y53000,290.0,273.0,94.14,16.0,43.0,120.0
y53590,153.0,144.0,94.12,1.0,4.0,120.0,y53590,153.0,140.0,91.5,0.0,18.0,120.0,y53590,153.0,137.0,89.54,0.0,21.0,140.0,y53590,153.0,139.0,90.85,5.0,28.0,140.0,y53590,153.0,141.0,92.16,6.0,22.0,140.0,y53590,153.0,141.0,92.16,0.0,21.0,140.0,y53590,153.0,139.0,90.85,0.0,23.0,140.0
